5:الإستشراق والمستشرقون
10:                            الإستشراق والمستشرقون
219:   اليوم. وفي الربع الأخير من القرن التاسع عشر عقد أول مؤتمر للمستشرقين في
228:   والآداب العربية والحضارة الإسلامية هي أهم ما يعنى به المستشرقون حتى
302:   ومن المستشرقين نفر قليل جدّاً أقبلوا على الاستشراق بدافع من حب الإطلاع
306:   الغالبية إلى المستشرقين، بل إن منهم من اهتدى إلى الإسلام وآمن برسالته.
311:   هذه الفئة في أوساط المستشرقين.
315:   تنقسم أهداف المستشرقين في جملتهم من الدراسات الاستشراقية إلى ثلاثة
343:   المستشرقين اليهود – أمثال جولد تسيهر وشاخت – هم أشد حرصاً على ادعاء
344:   استمداد الإسلام من اليهودية وتأثيرها فيه، أما المستشرقون المسيحيون
352:   هؤلاء المستشرقون بما دخل على الحديث النبوي من وضع ودس، متجاهلين تلك
422:   المستشرقون المتعصبون وخاصة المبشرين منهم، بأن مؤلفه كان مندفعاً بعاطفة
432:وسائل المستشرقين لتحقيق أهدافهم
434:   ولم يترك المستشرقون وسيلة لنشر أبحاثهم وبث آرائهم إلا سلكوها، ومنها:
453:   فروخ ومصطفى الخالدي وهو من أهم الوثائق التاريخية عن نشاط المستشرقين
468:   وفي هذه الموسوعة التي حشد لها كبار المستشرقين وأشدهم عداءً للإسلام، قد
473:   هذه كلمة موجزة عن المستشرقين وأصنافهم وأهدافهم ووسائلهم، ونرى من إتمام
474:   الفائدة للقراء أن نذيلها بذكر أخطر المستشرقين المعاصرين وأهم كتبهم،
475:   وبأهم المجلات التي يصدرها المستشرقون في الدول الاستعمارية الكبرى[2].
479:   أ‌- في عام 1787 أنشأ الفرنسيون جمعية للمستشرقين ألحقوها بأخرى في عام
486:   الأمريكية" وفي العام نفسه أصدر المستشرقون الألمان مجلة خاصة بهم، وكذلك
487:   فعل المستشرقون في كل من النمسا وإيطاليا وروسيا.
489:   ث‌- ومن المجلات التي أصدرها المستشرقون الأمريكيون في هذا القرن "مجلة
495:   ج‌- ويصدر المستشرقون الأمريكيون في الوقت الحاضر، "مجلة شؤون الشرق
499:   ح‌- وأخطر المجلات التي يصدرها المستشرقون الأمريكيون في الوقت الحاضر هي
504:   خ‌- وللمستشرقين الفرنسيين مجلة شبيهة بمجلة "العالم الإسلامي" في روحها
507:   أسماء أخطر المستشرقين المعاصرين وأهمّ كُتبهم:
570:   وله معجبون من المستشرقين. ومن كتبه:
608:   الهواري مؤلف كتاب "المستشرقون والإسلام" صدر في سنة 1936، وحدث ذلك بعد
610:   خلاصة الكتب الدينية والفلسفية التي سبقته، انظر "المستشرقون والإسلام" ص
670:   لدرجة أقلقت بعض المستشرقين أنفسهم (انظر ص 15 – 16 من 1، من المجلد 9
756:   المستشرقين. اشترك في تأليفه ونشره ه. أ. ر. جب Gibb.
798:   [2] هذا التثبت بأسماء مجلات المستشرقين وأسماء مشاهيرهم وكتبهم مأخوذة من
799:   محاضر للدكتور محمد البهي بعنوان: المبشرون والمستشرقون وموقفهم من
802:موازين البحث عند المستشرقين
804:   يعتمد جمهرة المستشرقين في تحرير أبحاثهم عن الشريعة الإسلامية على ميزان
808:   ينبغي عليه اعتقادها. ولكن أغلب هؤلاء المستشرقين يضعون في أذهانهم – كما
863:   3- يحاول المستشرقون أن يؤكدوا تعالي العرب الفاتحين عن المسلمين الأعاجم
903:   من أسس النقد والبحث عند هؤلاء المستشرقين هو إفراطهم في اختراع العلل
908:   المستشرق الفرنسي المسلم "ناصر الدين دينيه" في حديثه عن أسلوب المستشرقين
913:   صحيحة في تاريخ الأنبياء الشرقيين. ثم قال: إن هؤلاء المستشرقين الذين
921:   الآراء الجديدة التي أتى بها هؤلاء المستشرقون، من فرنسيين وإنجليز وألمان
965:   فأخبرني أنها من كتب المستشرقين أمثال: جولد تسيهر، ومرجليوث، وشاخت،
971:   آنفاً. وقد قال لي – خلال أحاديثي معه - : بأننا – نحن المستشرقين، نقع في
976:   في تاريخ الحديث، يتفق فيها غالباً مع آراء المستشرقين المتحاملين، وقد
977:   حرصت على أن أبين له أن الدراسات الاستشراقية السابقة فيها تحامل وبعد عن
979:   فكان مما أجاب به عنه: "لا شك أن المستشرقين في هذا العصر أكثر اطلاعاً
982:   أبحاثكم – المستشرقين – في هذا العصر أقرب إلى الحق والإنصاف من جولد
995:   مؤسس المدرسة الاستشراقية التي تبني حكمها في التشريع الإسلامي على وقائع
1011:   أكثره حول أبحاث المستشرقين ومؤلفاتهم عن الإسلام وتاريخه، وجعلت جولد
1012:   تسيهر محور الحديث عن المستشرقين، وذكرت له أمثلة من أخطائه وتحريفه
1014:   شهرة علمية ومرجعاً للمستشرقين، أما في هذا العصر – بعد انتشار الكتب
1019:   و (باريس) واجتمعت بمن كان موجوداً فيها حينئذ من المستشرقين.
1021:   ومما ذكرته آنفاً وما دوّنته في مذكراتي عن المستشرقين الذين لقيتهم خلال
1024:   أولاً: أن المستشرقين – في جمهورهم – لا يخلو أحدهم من أن يكون قسيساً أو
1030:   ثالثاً: أن المستشرقين المعاصرين في الدول غير الاستعمارية يتخلون عن جولد
1040:   ففي فرنسا لا يزال "بلا شير" و "ماسينيون" وهما شيخا المستشرقين الفرنسيين
1048:   الإسلام وكشف دسائس أولئك المستشرقين. وقد حدثنا الدكتور أمين المصري –
1055:   حتى هاله ما رآه من تحامل ودس في كتب المستشرقين، وخاصة "شاخت" فقرر أن
1068:   هذه كلمة موجزة عما تحققته بنفسي عن المستشرقين، وخاصة كتب جولد تسيهر
1076:   من أسماء أخطر المستشرقين ومؤلفاتهم التي ذكرناها قبل قليل. ومن المؤلم أن
1085:   التأثر بدسائس المستشرقين المتعصبين الاستعماريين.
1092:   وكلمة أخيرة أقولها عن المستشرقين:
1133:   الغربيين، إلا كتب المستشرقين الذين أفنوا أعمارهم في دراسة ثقافتنا وتتبع
1142:   الاقتباس من كتب المستشرقين معجبين بعلمهم وسعة اطلاعهم، ظانين أنهم لا
1147:   المستشرقون وغيرهم من الباحثين الغربيين، إما لصعوبة الرجوع إلى مصادرنا،
1154:   لموقفنا السابق من اتكالنا على المستشرقين في معرفة ما عندنا من تراث
1156:   فبدأنا نكتشف الحقيقة، حقيقة هؤلاء المستشرقين في أبحاثهم وأهدافهم
1162:   المستشرقين إلى هذا الحد. سيأتي يوم ننقلب فيه نحن إلى دراسة تراث
1167:   معايير النقد العلميّ التي يستعملها المستشرقون في نقد القرآن والسنة، في
1170:   استعمل المسلمون في المستقبل معايير النقد العلمي التي يزعم المستشرقون
1173:   الظن أكبر بكثير مما يخرج به المستشرقون بالنسبة إلى حضارتنا وعظمائنا؟
1177:   علمائها بنفس الأسلوب الذي يكتب به المستشرقون من تتبع الأخبار الساقطة،
1180:   ولرجالها مضحكة مخزية ينكرها المستشرقون قبل غيرهم، أترى أحداً ينهض منا
1182:   ذكرناه لإعطاء صورة عنهم وعن عقائدهم وعن حضارتهم ليقرأها المستشرقون
1191:   عن لغتنا، وصحة الاعتقاد بديننا وعلمائنا ما يريد منا هؤلاء المستشرقون
1196:   – ما كتبته عن المستشرقين ومناقشتي لآرائهم في كتابي "السنة ومكانتها في
1197:   التشريع الإسلامي" وغيره من الكتب التي تكشف عن دسائس هؤلاء المستشرقين،
1206:   «https://www.ikhwanwiki.com/index.php?title=الإستشراق_والمستشرقون&oldid
