token	corpus size	all contexts size	frequency	co-frequency	specificity
según	5008	3764	6	6	0.74
obra	5008	3764	6	6	0.74
francesa	5008	3764	6	6	0.74
muy	5008	3764	6	6	0.74
sido	5008	3764	6	6	0.74
diferentes	5008	3764	6	6	0.74
imágenes	5008	3764	6	6	0.74
fotografía	5008	3764	6	6	0.74
uso	5008	3764	6	6	0.74
época	5008	3764	6	6	0.74
universitaria	5008	3764	6	6	0.74
libro	5008	3764	9	8	0.64
francés	5008	3764	9	8	0.64
pintores	5008	3764	9	8	0.64
uruguay	5008	3764	12	10	0.63
esta	5008	3764	12	10	0.63
egipto	5008	3764	5	5	0.62
tan	5008	3764	5	5	0.62
title	5008	3764	5	5	0.62
oldid	5008	3764	5	5	0.62
concepto	5008	3764	5	5	0.62
fueron	5008	3764	5	5	0.62
desarrollo	5008	3764	5	5	0.62
papel	5008	3764	5	5	0.62
geográfico	5008	3764	5	5	0.62
modo	5008	3764	5	5	0.62
otro	5008	3764	5	5	0.62
ser	5008	3764	5	5	0.62
gran	5008	3764	5	5	0.62
dentro	5008	3764	5	5	0.62
cómo	5008	3764	5	5	0.62
belleza	5008	3764	5	5	0.62
tiene	5008	3764	5	5	0.62
países	5008	3764	5	5	0.62
tal	5008	3764	5	5	0.62
pues	5008	3764	5	5	0.62
idea	5008	3764	5	5	0.62
exotismo	5008	3764	5	5	0.62
hugo	5008	3764	5	5	0.62
afganistãƒn	5008	3764	5	5	0.62
artistas	5008	3764	8	7	0.57
así	5008	3764	8	7	0.57
país	5008	3764	10	8	0.55
forma	5008	3764	9	7	0.52
árabe	5008	3764	9	7	0.52
xix	5008	3764	9	7	0.52
especialmente	5008	3764	8	6	0.51
académico	5008	3764	7	6	0.50
europa	5008	3764	7	6	0.50
in	5008	3764	7	6	0.50
ya	5008	3764	7	6	0.50
representaciones	5008	3764	7	6	0.50
lejano	5008	3764	4	4	0.50
república	5008	3764	4	4	0.50
género	5008	3764	4	4	0.50
grupo	5008	3764	4	4	0.50
inglés	5008	3764	4	4	0.50
relaciones	5008	3764	4	4	0.50
hacia	5008	3764	4	4	0.50
relación	5008	3764	4	4	0.50
poder	5008	3764	4	4	0.50
dominación	5008	3764	4	4	0.50
europeo	5008	3764	4	4	0.50
misterioso	5008	3764	4	4	0.50
académica	5008	3764	4	4	0.50
visión	5008	3764	4	4	0.50
claramente	5008	3764	4	4	0.50
moderna	5008	3764	4	4	0.50
mediterráneo	5008	3764	4	4	0.50
crítica	5008	3764	4	4	0.50
oembed	5008	3764	4	4	0.50
json	5008	3764	4	4	0.50
sí	5008	3764	4	4	0.50
cultural	5008	3764	4	4	0.50
era	5008	3764	4	4	0.50
civilizaciones	5008	3764	4	4	0.50
partir	5008	3764	4	4	0.50
xviii	5008	3764	4	4	0.50
referencia	5008	3764	4	4	0.50
importante	5008	3764	4	4	0.50
xx	5008	3764	4	4	0.50
comunicación	5008	3764	4	4	0.50
analizar	5008	3764	4	4	0.50
torno	5008	3764	4	4	0.50
principal	5008	3764	4	4	0.50
imaginario	5008	3764	4	4	0.50
estética	5008	3764	4	4	0.50
objeto	5008	3764	4	4	0.50
tuvo	5008	3764	4	4	0.50
representa	5008	3764	4	4	0.50
sino	5008	3764	4	4	0.50
ellos	5008	3764	4	4	0.50
solo	5008	3764	4	4	0.50
conocer	5008	3764	4	4	0.50
estereotipo	5008	3764	4	4	0.50
realidad	5008	3764	4	4	0.50
commonscat	5008	3764	4	4	0.50
multimedia	5008	3764	4	4	0.50
respecto	5008	3764	4	4	0.50
incluso	5008	3764	4	4	0.50
original	5008	3764	4	4	0.50
grado	5008	3764	4	4	0.50
área	5008	3764	4	4	0.50
turismo	5008	3764	4	4	0.50
hombres	5008	3764	4	4	0.50
afganistãƒâ	5008	3764	4	4	0.50
pakistãƒn	5008	3764	4	4	0.50
obras	5008	3764	6	5	0.45
josé	5008	3764	6	5	0.45
sociedad	5008	3764	6	5	0.45
artes	5008	3764	6	5	0.45
maría	5008	3764	6	5	0.45
región	5008	3764	5	4	0.40
nos	5008	3764	5	4	0.40
además	5008	3764	5	4	0.40
política	5008	3764	5	4	0.40
título	5008	3764	5	4	0.40
hasta	5008	3764	4	3	0.37
colonial	5008	3764	4	3	0.37
través	5008	3764	4	3	0.37
algunos	5008	3764	4	3	0.37
sentido	5008	3764	4	3	0.37
político	5008	3764	4	3	0.37
hace	5008	3764	4	3	0.37
universidad	5008	3764	4	3	0.37
le	5008	3764	4	3	0.37
visual	5008	3764	4	3	0.37
américa	5008	3764	4	3	0.37
provincia	5008	3764	3	3	0.37
antiguo	5008	3764	3	3	0.37
sean	5008	3764	3	3	0.37
wikisource	5008	3764	3	3	0.37
pueden	5008	3764	3	3	0.37
traducción	5008	3764	3	3	0.37
lugar	5008	3764	3	3	0.37
fuerza	5008	3764	3	3	0.37
retratos	5008	3764	3	3	0.37
eruditos	5008	3764	3	3	0.37
escribir	5008	3764	3	3	0.37
ver	5008	3764	3	3	0.37
tradicional	5008	3764	3	3	0.37
europea	5008	3764	3	3	0.37
franceses	5008	3764	3	3	0.37
abstractas	5008	3764	3	3	0.37
teórica	5008	3764	3	3	0.37
moderno	5008	3764	3	3	0.37
masas	5008	3764	3	3	0.37
importantes	5008	3764	3	3	0.37
características	5008	3764	3	3	0.37
suelen	5008	3764	3	3	0.37
después	5008	3764	3	3	0.37
había	5008	3764	3	3	0.37
tesis	5008	3764	3	3	0.37
granada	5008	3764	3	3	0.37
sería	5008	3764	3	3	0.37
frontera	5008	3764	3	3	0.37
arquitectura	5008	3764	3	3	0.37
escuela	5008	3764	3	3	0.37
fortuny	5008	3764	3	3	0.37
comentario	5008	3764	3	3	0.37
personalidad	5008	3764	3	3	0.37
motivos	5008	3764	3	3	0.37
cual	5008	3764	3	3	0.37
ello	5008	3764	3	3	0.37
influencia	5008	3764	3	3	0.37
pinturas	5008	3764	3	3	0.37
diferencia	5008	3764	3	3	0.37
véanse	5008	3764	3	3	0.37
designar	5008	3764	3	3	0.37
sol	5008	3764	3	3	0.37
especializaron	5008	3764	3	3	0.37
menudo	5008	3764	3	3	0.37
influyente	5008	3764	3	3	0.37
referente	5008	3764	3	3	0.37
dice	5008	3764	3	3	0.37
sistema	5008	3764	3	3	0.37
new	5008	3764	3	3	0.37
york	5008	3764	3	3	0.37
vintage	5008	3764	3	3	0.37
books	5008	3764	3	3	0.37
estereotipos	5008	3764	3	3	0.37
manera	5008	3764	3	3	0.37
algo	5008	3764	3	3	0.37
particular	5008	3764	3	3	0.37
intelectual	5008	3764	3	3	0.37
colonialismo	5008	3764	3	3	0.37
población	5008	3764	3	3	0.37
primera	5008	3764	3	3	0.37
pensamiento	5008	3764	3	3	0.37
mujer	5008	3764	3	3	0.37
significa	5008	3764	3	3	0.37
origen	5008	3764	3	3	0.37
sólo	5008	3764	3	3	0.37
entendido	5008	3764	3	3	0.37
geográficamente	5008	3764	3	3	0.37
estos	5008	3764	3	3	0.37
procesos	5008	3764	3	3	0.37
tres	5008	3764	3	3	0.37
sistemas	5008	3764	3	3	0.37
histórico	5008	3764	3	3	0.37
patrimonio	5008	3764	3	3	0.37
visitar	5008	3764	3	3	0.37
victor	5008	3764	3	3	0.37
referirse	5008	3764	2	2	0.25
mitad	5008	3764	2	2	0.25
encuentra	5008	3764	2	2	0.25
cristiandad	5008	3764	2	2	0.25
relacionado	5008	3764	2	2	0.25
general	5008	3764	2	2	0.25
localidad	5008	3764	2	2	0.25
estado	5008	3764	2	2	0.25
puebla	5008	3764	2	2	0.25
argentina	5008	3764	2	2	0.25
omán	5008	3764	2	2	0.25
marruecos	5008	3764	2	2	0.25
romanticismo	5008	3764	2	2	0.25
club	5008	3764	2	2	0.25
uruguayo	5008	3764	2	2	0.25
ciudad	5008	3764	2	2	0.25
textos	5008	3764	2	2	0.25
interpretación	5008	3764	2	2	0.25
generar	5008	3764	2	2	0.25
información	5008	3764	2	2	0.25
primer	5008	3764	2	2	0.25
resulta	5008	3764	2	2	0.25
obvio	5008	3764	2	2	0.25
decimonónico	5008	3764	2	2	0.25
método	5008	3764	2	2	0.25
reales	5008	3764	2	2	0.25
clásico	5008	3764	2	2	0.25
duda	5008	3764	2	2	0.25
vertiente	5008	3764	2	2	0.25
rigor	5008	3764	2	2	0.25
científico	5008	3764	2	2	0.25
existencia	5008	3764	2	2	0.25
turquía	5008	3764	2	2	0.25
ante	5008	3764	2	2	0.25
económico	5008	3764	2	2	0.25
magreb	5008	3764	2	2	0.25
príncipe	5008	3764	2	2	0.25
musulmán	5008	3764	2	2	0.25
marxista	5008	3764	2	2	0.25
feed	5008	3764	2	2	0.25
nacimiento	5008	3764	2	2	0.25
evolución	5008	3764	2	2	0.25
parece	5008	3764	2	2	0.25
siria	5008	3764	2	2	0.25
exactamente	5008	3764	2	2	0.25
ligado	5008	3764	2	2	0.25
principio	5008	3764	2	2	0.25
supuesto	5008	3764	2	2	0.25
carácter	5008	3764	2	2	0.25
espacio	5008	3764	2	2	0.25
eran	5008	3764	2	2	0.25
bárbaros	5008	3764	2	2	0.25
incapaces	5008	3764	2	2	0.25
presente	5008	3764	2	2	0.25
puntos	5008	3764	2	2	0.25
contacto	5008	3764	2	2	0.25
creado	5008	3764	2	2	0.25
pensar	5008	3764	2	2	0.25
finalmente	5008	3764	2	2	0.25
tienen	5008	3764	2	2	0.25
nuevos	5008	3764	2	2	0.25
convertido	5008	3764	2	2	0.25
debate	5008	3764	2	2	0.25
segunda	5008	3764	2	2	0.25
hoy	5008	3764	2	2	0.25
lado	5008	3764	2	2	0.25
asume	5008	3764	2	2	0.25
utiliza	5008	3764	2	2	0.25
número	5008	3764	2	2	0.25
críticos	5008	3764	2	2	0.25
acaba	5008	3764	2	2	0.25
utilizada	5008	3764	2	2	0.25
profesor	5008	3764	2	2	0.25
hizo	5008	3764	2	2	0.25
elementos	5008	3764	2	2	0.25
com	5008	3764	2	2	0.25
treinta	5008	3764	2	2	0.25
comentarios	5008	3764	2	2	0.25
menos	5008	3764	2	2	0.25
ejemplo	5008	3764	2	2	0.25
modificar	5008	3764	2	2	0.25
tras	5008	3764	2	2	0.25
descubrimiento	5008	3764	2	2	0.25
orientalisme	5008	3764	2	2	0.25
porque	5008	3764	2	2	0.25
enemigo	5008	3764	2	2	0.25
resultó	5008	3764	2	2	0.25
orígenes	5008	3764	2	2	0.25
conocimiento	5008	3764	2	2	0.25
transmitidos	5008	3764	2	2	0.25
artístico	5008	3764	2	2	0.25
igual	5008	3764	2	2	0.25
inspiración	5008	3764	2	2	0.25
políticas	5008	3764	2	2	0.25
busca	5008	3764	2	2	0.25
paraíso	5008	3764	2	2	0.25
soñado	5008	3764	2	2	0.25
propia	5008	3764	2	2	0.25
poco	5008	3764	2	2	0.25
cercano	5008	3764	2	2	0.25
viajeros	5008	3764	2	2	0.25
sigue	5008	3764	2	2	0.25
saber	5008	3764	2	2	0.25
española	5008	3764	2	2	0.25
islámica	5008	3764	2	2	0.25
históricas	5008	3764	2	2	0.25
hacen	5008	3764	2	2	0.25
aproximación	5008	3764	2	2	0.25
siendo	5008	3764	2	2	0.25
imaginación	5008	3764	2	2	0.25
dicho	5008	3764	2	2	0.25
interés	5008	3764	2	2	0.25
marco	5008	3764	2	2	0.25
sitúa	5008	3764	2	2	0.25
escenas	5008	3764	2	2	0.25
debido	5008	3764	2	2	0.25
españoles	5008	3764	2	2	0.25
cuadros	5008	3764	2	2	0.25
corriente	5008	3764	2	2	0.25
essad	5008	3764	2	2	0.25
siguientes	5008	3764	2	2	0.25
libros	5008	3764	2	2	0.25
encanto	5008	3764	2	2	0.25
consumos	5008	3764	2	2	0.25
espectáculo	5008	3764	2	2	0.25
dominar	5008	3764	2	2	0.25
civilizar	5008	3764	2	2	0.25
local	5008	3764	2	2	0.25
polisémico	5008	3764	2	2	0.25
usa	5008	3764	2	2	0.25
procedente	5008	3764	2	2	0.25
entró	5008	3764	2	2	0.25
cielo	5008	3764	2	2	0.25
sale	5008	3764	2	2	0.25
geográficos	5008	3764	2	2	0.25
edades	5008	3764	2	2	0.25
situados	5008	3764	2	2	0.25
inmediatamente	5008	3764	2	2	0.25
expandido	5008	3764	2	2	0.25
despertar	5008	3764	2	2	0.25
impacto	5008	3764	2	2	0.25
ampliamente	5008	3764	2	2	0.25
utilizado	5008	3764	2	2	0.25
basándose	5008	3764	2	2	0.25
descritos	5008	3764	2	2	0.25
impidió	5008	3764	2	2	0.25
société	5008	3764	2	2	0.25
des	5008	3764	2	2	0.25
peintres	5008	3764	2	2	0.25
fundara	5008	3764	2	2	0.25
utilizaba	5008	3764	2	2	0.25
estudioso	5008	3764	2	2	0.25
materia	5008	3764	2	2	0.25
rara	5008	3764	2	2	0.25
diccionario	5008	3764	2	2	0.25
oxford	5008	3764	2	2	0.25
cita	5008	3764	2	2	0.25
asiáticos	5008	3764	2	2	0.25
polémico	5008	3764	2	2	0.25
quería	5008	3764	2	2	0.25
redefinir	5008	3764	2	2	0.25
ofreciendo	5008	3764	2	2	0.25
interpretaciones	5008	3764	2	2	0.25
extranjeros	5008	3764	2	2	0.25
ajenos	5008	3764	2	2	0.25
única	5008	3764	2	2	0.25
escenario	5008	3764	2	2	0.25
limita	5008	3764	2	2	0.25
lenguas	5008	3764	2	2	0.25
edad	5008	3764	2	2	0.25
antigua	5008	3764	2	2	0.25
analiza	5008	3764	2	2	0.25
términos	5008	3764	2	2	0.25
convirtió	5008	3764	2	2	0.25
establecido	5008	3764	2	2	0.25
sensualidad	5008	3764	2	2	0.25
preciosismo	5008	3764	2	2	0.25
europeos	5008	3764	2	2	0.25
construido	5008	3764	2	2	0.25
jean	5008	3764	2	2	0.25
harem	5008	3764	2	2	0.25
habla	5008	3764	2	2	0.25
dado	5008	3764	2	2	0.25
governor	5008	3764	2	2	0.25
orientations	5008	3764	2	2	0.25
colección	5008	3764	2	2	0.25
artículo	5008	3764	2	2	0.25
asociados	5008	3764	2	2	0.25
aquello	5008	3764	2	2	0.25
bien	5008	3764	2	2	0.25
toda	5008	3764	2	2	0.25
ardor	5008	3764	2	2	0.25
cuando	5008	3764	2	2	0.25
pata	5008	3764	2	2	0.25
piensa	5008	3764	2	2	0.25
unas	5008	3764	2	2	0.25
cuyos	5008	3764	2	2	0.25
miembros	5008	3764	2	2	0.25
necesitan	5008	3764	2	2	0.25
alguien	5008	3764	2	2	0.25
represente	5008	3764	2	2	0.25
gobierne	5008	3764	2	2	0.25
cada	5008	3764	2	2	0.25
vez	5008	3764	2	2	0.25
romantizado	5008	3764	2	2	0.25
obsesión	5008	3764	2	2	0.25
imagen	5008	3764	2	2	0.25
vigencia	5008	3764	2	2	0.25
fines	5008	3764	2	2	0.25
lugares	5008	3764	2	2	0.25
comunes	5008	3764	2	2	0.25
considera	5008	3764	2	2	0.25
clave	5008	3764	2	2	0.25
gérôme	5008	3764	2	2	0.25
admirar	5008	3764	2	2	0.25
escrito	5008	3764	2	2	0.25
estableció	5008	3764	2	2	0.25
texto	5008	3764	2	2	0.25
modelos	5008	3764	2	2	0.25
mayoría	5008	3764	2	2	0.25
palabra	5008	3764	2	2	0.25
débil	5008	3764	2	2	0.25
an	5008	3764	2	2	0.25
gentilicio	5008	3764	2	2	0.25
wikivoyage	5008	3764	2	2	0.25
guía	5008	3764	2	2	0.25
turística	5008	3764	2	2	0.25
maria	5008	3764	2	2	0.25
construcción	5008	3764	2	2	0.25
inserción	5008	3764	2	2	0.25
expansión	5008	3764	2	2	0.25
demanda	5008	3764	2	2	0.25
acción	5008	3764	2	2	0.25
doble	5008	3764	2	2	0.25
presenta	5008	3764	2	2	0.25
español	5008	3764	2	2	0.25
señala	5008	3764	2	2	0.25
técnica	5008	3764	2	2	0.25
principales	5008	3764	2	2	0.25
uno	5008	3764	2	2	0.25
tapa	5008	3764	2	2	0.25
imprenta	5008	3764	2	2	0.25
aseverar	5008	3764	2	2	0.25
celebró	5008	3764	2	2	0.25
cantidad	5008	3764	2	2	0.25
sevilla	5008	3764	2	2	0.25
apoyo	5008	3764	2	2	0.25
tutoría	5008	3764	2	2	0.25
chino	5008	3764	2	2	0.25
étnica	5008	3764	2	2	0.25
intercultural	5008	3764	2	2	0.25
flujos	5008	3764	2	2	0.25
migratorios	5008	3764	2	2	0.25
comprender	5008	3764	2	2	0.25
comercio	5008	3764	2	2	0.25
diversidad	5008	3764	2	2	0.25
contemporáneo	5008	3764	2	2	0.25
audiovisual	5008	3764	2	2	0.25
actual	5008	3764	2	2	0.25
instituciones	5008	3764	2	2	0.25
sinteticen	5008	3764	2	2	0.25
economía	5008	3764	2	2	0.25
trilogia	5008	3764	2	2	0.25
jackson	5008	3764	2	2	0.25
descubrir	5008	3764	2	2	0.25
impensable	5008	3764	2	2	0.25
pierda	5008	3764	2	2	0.25
visita	5008	3764	2	2	0.25
seguridad	5008	3764	2	2	0.25
cubanos	5008	3764	2	2	0.25
nombre	5008	3764	2	2	0.25
jefe	5008	3764	2	2	0.25
libertad	5008	3764	2	2	0.25
pakistãƒâ	5008	3764	2	2	0.25
informe	5008	3764	2	2	0.25
actualizado	5008	3764	2	2	0.25
economãƒa	5008	3764	2	2	0.25
regiãƒâ	5008	3764	2	2	0.25
hemisferio	5008	3764	1	1	0.12
esfera	5008	3764	1	1	0.12
terrestre	5008	3764	1	1	0.12
desarrolló	5008	3764	1	1	0.12
biogeografía	5008	3764	1	1	0.12
grandes	5008	3764	1	1	0.12
extremo	5008	3764	1	1	0.12
banda	5008	3764	1	1	0.12
territorio	5008	3764	1	1	0.12
carolina	5008	3764	1	1	0.12
municipio	5008	3764	1	1	0.12
mexicano	5008	3764	1	1	0.12
partido	5008	3764	1	1	0.12
junín	5008	3764	1	1	0.12
gobernación	5008	3764	1	1	0.12
democrática	5008	3764	1	1	0.12
congo	5008	3764	1	1	0.12
literario	5008	3764	1	1	0.12
propio	5008	3764	1	1	0.12
football	5008	3764	1	1	0.12
fútbol	5008	3764	1	1	0.12
nacionalidad	5008	3764	1	1	0.12
nacidos	5008	3764	1	1	0.12
ilustrados	5008	3764	1	1	0.12
valientes	5008	3764	1	1	0.12
significado	5008	3764	1	1	0.12
estudian	5008	3764	1	1	0.12
destaca	5008	3764	1	1	0.12
riqueza	5008	3764	1	1	0.12
literatura	5008	3764	1	1	0.12
india	5008	3764	1	1	0.12
ortografía	5008	3764	1	1	0.12
alternativa	5008	3764	1	1	0.12
hindú	5008	3764	1	1	0.12
cuestionar	5008	3764	1	1	0.12
contribuciones	5008	3764	1	1	0.12
locales	5008	3764	1	1	0.12
regionales	5008	3764	1	1	0.12
utilizadas	5008	3764	1	1	0.12
simboliza	5008	3764	1	1	0.12
célebre	5008	3764	1	1	0.12
postulados	5008	3764	1	1	0.12
palestino	5008	3764	1	1	0.12
realizado	5008	3764	1	1	0.12
fecha	5008	3764	1	1	0.12
reciente	5008	3764	1	1	0.12
parcela	5008	3764	1	1	0.12
caso	5008	3764	1	1	0.12
propiciado	5008	3764	1	1	0.12
retroceso	5008	3764	1	1	0.12
presupuestos	5008	3764	1	1	0.12
recalcitrantes	5008	3764	1	1	0.12
arraigada	5008	3764	1	1	0.12
éste	5008	3764	1	1	0.12
ejerce	5008	3764	1	1	0.12
entender	5008	3764	1	1	0.12
durabilidad	5008	3764	1	1	0.12
proyecto	5008	3764	1	1	0.12
empleado	5008	3764	1	1	0.12
centró	5008	3764	1	1	0.12
posteriormente	5008	3764	1	1	0.12
americano	5008	3764	1	1	0.12
reposado	5008	3764	1	1	0.12
célebres	5008	3764	1	1	0.12
celebrados	5008	3764	1	1	0.12
paradigmas	5008	3764	1	1	0.12
ofrecieron	5008	3764	1	1	0.12
acorde	5008	3764	1	1	0.12
fitzgerlad	5008	3764	1	1	0.12
verdadero	5008	3764	1	1	0.12
pioneros	5008	3764	1	1	0.12
acerca	5008	3764	1	1	0.12
pretendido	5008	3764	1	1	0.12
dijo	5008	3764	1	1	0.12
consecuencia	5008	3764	1	1	0.12
considerar	5008	3764	1	1	0.12
regularizada	5008	3764	1	1	0.12
ideológicos	5008	3764	1	1	0.12
adaptados	5008	3764	1	1	0.12
entidad	5008	3764	1	1	0.12
arabistas	5008	3764	1	1	0.12
sylvestre	5008	3764	1	1	0.12
sacy	5008	3764	1	1	0.12
referido	5008	3764	1	1	0.12
algunas	5008	3764	1	1	0.12
diferencias	5008	3764	1	1	0.12
sustanciales	5008	3764	1	1	0.12
doméstico	5008	3764	1	1	0.12
corte	5008	3764	1	1	0.12
herencia	5008	3764	1	1	0.12
mitos	5008	3764	1	1	0.12
posición	5008	3764	1	1	0.12
cambiante	5008	3764	1	1	0.12
orden	5008	3764	1	1	0.12
posible	5008	3764	1	1	0.12
paz	5008	3764	1	1	0.12
guerra	5008	3764	1	1	0.12
fría	5008	3764	1	1	0.12
unión	5008	3764	1	1	0.12
ee	5008	3764	1	1	0.12
uu	5008	3764	1	1	0.12
energía	5008	3764	1	1	0.12
tiempos	5008	3764	1	1	0.12
imames	5008	3764	1	1	0.12
integrado	5008	3764	1	1	0.12
educación	5008	3764	1	1	0.12
seísmo	5008	3764	1	1	0.12
search	5008	3764	1	1	0.12
man	5008	3764	1	1	0.12
caught	5008	3764	1	1	0.12
between	5008	3764	1	1	0.12
west	5008	3764	1	1	0.12
trabajo	5008	3764	1	1	0.12
investigación	5008	3764	1	1	0.12
escritor	5008	3764	1	1	0.12
declaraba	5008	3764	1	1	0.12
monárquico	5008	3764	1	1	0.12
xml	5008	3764	1	1	0.12
inicio	5008	3764	1	1	0.12
ciencia	5008	3764	1	1	0.12
languidecido	5008	3764	1	1	0.12
llegada	5008	3764	1	1	0.12
aprendieron	5008	3764	1	1	0.12
fabricar	5008	3764	1	1	0.12
contenido	5008	3764	1	1	0.12
coincidió	5008	3764	1	1	0.12
periodo	5008	3764	1	1	0.12
costas	5008	3764	1	1	0.12
tierras	5008	3764	1	1	0.12
británicos	5008	3764	1	1	0.12
enfrentaron	5008	3764	1	1	0.12
siguiendo	5008	3764	1	1	0.12
razonamiento	5008	3764	1	1	0.12
apoya	5008	3764	1	1	0.12
generalizaciones	5008	3764	1	1	0.12
contrapuesto	5008	3764	1	1	0.12
ahistórico	5008	3764	1	1	0.12
estática	5008	3764	1	1	0.12
estaban	5008	3764	1	1	0.12
preocupados	5008	3764	1	1	0.12
objetivo	5008	3764	1	1	0.12
salvar	5008	3764	1	1	0.12
nada	5008	3764	1	1	0.12
seres	5008	3764	1	1	0.12
permitiría	5008	3764	1	1	0.12
retrasadas	5008	3764	1	1	0.12
tener	5008	3764	1	1	0.12
estilo	5008	3764	1	1	0.12
establece	5008	3764	1	1	0.12
desarrollada	5008	3764	1	1	0.12
poetas	5008	3764	1	1	0.12
novelistas	5008	3764	1	1	0.12
filósofos	5008	3764	1	1	0.12
institución	5008	3764	1	1	0.12
colectiva	5008	3764	1	1	0.12
relaciona	5008	3764	1	1	0.12
consiste	5008	3764	1	1	0.12
publicó	5008	3764	1	1	0.12
acontecimientos	5008	3764	1	1	0.12
muchas	5008	3764	1	1	0.12
definiciones	5008	3764	1	1	0.12
esbozadas	5008	3764	1	1	0.12
anteriormente	5008	3764	1	1	0.12
árabes	5008	3764	1	1	0.12
representarse	5008	3764	1	1	0.12
discursos	5008	3764	1	1	0.12
forjado	5008	3764	1	1	0.12
distingue	5008	3764	1	1	0.12
estar	5008	3764	1	1	0.12
asociado	5008	3764	1	1	0.12
distintas	5008	3764	1	1	0.12
caracterizar	5008	3764	1	1	0.12
retrasado	5008	3764	1	1	0.12
aparece	5008	3764	1	1	0.12
héroe	5008	3764	1	1	0.12
judío	5008	3764	1	1	0.12
colonizador	5008	3764	1	1	0.12
sombra	5008	3764	1	1	0.12
terrible	5008	3764	1	1	0.12
penetrado	5008	3764	1	1	0.12
apoderado	5008	3764	1	1	0.12
opinión	5008	3764	1	1	0.12
pública	5008	3764	1	1	0.12
conceptos	5008	3764	1	1	0.12
asimilar	5008	3764	1	1	0.12
categorías	5008	3764	1	1	0.12
bibliografía	5008	3764	1	1	0.12
rechazos	5008	3764	1	1	0.12
marx	5008	3764	1	1	0.12
apenas	5008	3764	1	1	0.12
discusión	5008	3764	1	1	0.12
school	5008	3764	1	1	0.12
african	5008	3764	1	1	0.12
studies	5008	3764	1	1	0.12
asienta	5008	3764	1	1	0.12
idealismo	5008	3764	1	1	0.12
enorme	5008	3764	1	1	0.12
polémica	5008	3764	1	1	0.12
causada	5008	3764	1	1	0.12
tratado	5008	3764	1	1	0.12
exprimen	5008	3764	1	1	0.12
asimismo	5008	3764	1	1	0.12
expresar	5008	3764	1	1	0.12
primeros	5008	3764	1	1	0.12
marxism	5008	3764	1	1	0.12
cosmopolitanism	5008	3764	1	1	0.12
postorientalismo	5008	3764	1	1	0.12
articulos	5008	3764	1	1	0.12
discur	5008	3764	1	1	0.12
edición	5008	3764	1	1	0.12
libres	5008	3764	1	1	0.12
rss	5008	3764	1	1	0.12
polémicos	5008	3764	1	1	0.12
sentó	5008	3764	1	1	0.12
bases	5008	3764	1	1	0.12
describía	5008	3764	1	1	0.12
propósito	5008	3764	1	1	0.12
visto	5008	3764	1	1	0.12
impedido	5008	3764	1	1	0.12
universidades	5008	3764	1	1	0.12
cristiano	5008	3764	1	1	0.12
nacido	5008	3764	1	1	0.12
seno	5008	3764	1	1	0.12
iglesia	5008	3764	1	1	0.12
permitió	5008	3764	1	1	0.12
despojar	5008	3764	1	1	0.12
religiosidad	5008	3764	1	1	0.12
their	5008	3764	1	1	0.12
acusaron	5008	3764	1	1	0.12
revelar	5008	3764	1	1	0.12
cosmopolita	5008	3764	1	1	0.12
sospechoso	5008	3764	1	1	0.12
releí	5008	3764	1	1	0.12
